YQ,Percentage_filled_in
2018 Q1,17.594254937163374
2018 Q2,12.380952380952381
2018 Q3,0.0
2018 Q4,24.504950495049506
2019 Q1,47.49034749034749
2019 Q2,37.34939759036144
2019 Q3,66.44144144144144
2019 Q4,85.36585365853658
2020 Q1,87.74752475247524
2020 Q2,84.91048593350384
2020 Q3,87.68606224627875
2020 Q4,86.36847710330139
2021 Q1,88.43398157625384
2021 Q2,89.92161254199328
2021 Q3,90.95163806552262
2021 Q4,88.39390386869871
2022 Q1,88.20224719101124
2022 Q2,73.86934673366834
2022 Q3,100.0
2201 Q4,0.0
